"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Kyle MacLean","C","OSH","17.386","68","5","5","2","10","12","74","6.76","0.07","0.07","0.03","0.15","0.18","1.09","760.75","11.19","0.39","0.39","0.16","0.79","0.95","5.84","13.08","14.02","47.8","50.63","-1.9","46.97","31","35","1","5","20.0","2","12","16.67","2","57","3.51","163","325","50.15"
"","Kody Clark","RW","OTT","16.928","57","7","3","0","10","10","69","10.14","0.12","0.05","0.0","0.18","0.18","1.21","543.05","9.53","0.77","0.33","0.0","1.1","1.1","7.62","13.18","13.41","46.52","49.84","-11.63","38.78","19","30","1","9","11.11","2","11","18.18","4","49","8.16","2","6","33.33"
"","Jacob Moverare","D","MISS","18.046","63","1","8","8","9","17","83","1.2","0.02","0.13","0.13","0.14","0.27","1.32","975.29","15.48","0.06","0.49","0.49","0.55","1.05","5.11","14.44","13.46","56.9","49.63","0.54","56.86","58","44","0","2","0.0","1","8","12.5","0","73","0.0","4","4","100.0"
"","Justin Murray","D","BAR","18.07","66","1","8","5","9","14","71","1.41","0.02","0.12","0.08","0.14","0.21","1.08","939.99","14.24","0.06","0.51","0.32","0.57","0.89","4.53","12.62","13.81","41.53","49.58","2.83","41.96","47","65","0","0","0.0","0","3","0.0","1","68","1.47","3","5","60.0"
"","Adam McMaster","C","NB","16.562","61","2","7","5","9","14","77","2.6","0.03","0.11","0.08","0.15","0.23","1.26","681.35","11.17","0.18","0.62","0.44","0.79","1.23","6.78","13.48","13.72","41.77","50.1","-4.34","36.67","22","38","1","8","12.5","0","10","0.0","1","59","1.69","133","329","40.43"
"","Aiden  Jamieson","D","SBY","20.485","66","1","8","5","9","14","54","1.85","0.02","0.12","0.08","0.14","0.21","0.82","985.87","14.94","0.06","0.49","0.3","0.55","0.85","3.29","12.85","13.5","44.71","48.82","0.37","45.87","50","59","1","1","100.0","0","5","0.0","0","48","0.0","0","1","0.0"
"","Shaw Boomhower","C","MISS","17.879","60","6","3","5","9","14","68","8.82","0.1","0.05","0.08","0.15","0.23","1.13","634.52","10.58","0.57","0.28","0.47","0.85","1.32","6.43","13.29","13.18","51.61","49.15","-15.78","41.82","23","32","3","10","30.0","2","12","16.67","1","46","2.17","183","390","46.92"
"","Keaton Middleton","D","SAG","18.599","64","4","5","5","9","14","77","5.19","0.06","0.08","0.08","0.14","0.22","1.2","852.87","13.33","0.28","0.35","0.35","0.63","0.98","5.42","13.79","13.72","47.49","51.28","5.24","51.72","45","42","0","3","0.0","0","0","0.0","4","74","5.41","1","1","100.0"
"","Jason Smith","C","MISS/BAR","19.39","67","6","3","4","9","13","72","8.33","0.09","0.04","0.06","0.13","0.19","1.07","717.1","10.7","0.5","0.25","0.33","0.75","1.09","6.02","12.86","13.79","44.04","50.16","-11.05","38.57","27","43","1","9","11.11","3","15","20.0","2","48","4.17","235","447","52.57"
"","Drake Pilon","RW","SBY","17.958","58","5","4","4","9","13","68","7.35","0.09","0.07","0.07","0.16","0.22","1.17","544.19","9.38","0.55","0.44","0.44","0.99","1.43","7.5","12.99","13.49","43.4","49.04","-8.13","39.53","17","26","0","5","0.0","1","9","11.11","4","54","7.41","6","16","37.5"
"","Zack Dorval","C","KGN/OTT","18.41","65","6","3","2","9","11","86","6.98","0.09","0.05","0.03","0.14","0.17","1.32","718.51","11.05","0.5","0.25","0.17","0.75","0.92","7.18","13.52","13.75","43.92","52.07","-22.58","25.86","15","43","1","7","14.29","4","20","20.0","1","59","1.69","97","178","54.49"
"","Liam Stevens","LW","GUE","17.402","64","6","3","2","9","11","62","9.68","0.09","0.05","0.03","0.14","0.17","0.97","710.12","11.1","0.51","0.25","0.17","0.76","0.93","5.24","13.26","13.48","39.54","52.28","-6.34","35.29","24","44","0","3","0.0","2","7","28.57","4","52","7.69","7","12","58.33"
"","Aidan McFarland","LW","MISS","17.451","67","4","5","1","9","10","92","4.35","0.06","0.07","0.01","0.13","0.15","1.37","719.14","10.73","0.33","0.42","0.08","0.75","0.83","7.68","13.5","13.63","51.73","49.5","-20.77","37.7","23","38","0","4","0.0","1","16","6.25","3","72","4.17","11","20","55.0"
"","Max Kislinger","LW","NB","18.596","35","5","4","1","9","10","38","13.16","0.14","0.11","0.03","0.26","0.29","1.09","452.38","12.93","0.66","0.53","0.13","1.19","1.33","5.04","14.62","13.69","41.67","49.72","5.37","43.9","18","23","1","5","20.0","1","7","14.29","3","26","11.54","1","6","16.67"
"","Nic Sicoly","LW","GUE","18.697","66","2","7","1","9","10","75","2.67","0.03","0.11","0.02","0.14","0.15","1.14","672.19","10.18","0.18","0.62","0.09","0.8","0.89","6.69","12.71","13.49","38.3","51.95","-6.99","34.43","21","40","1","9","11.11","0","14","0.0","1","52","1.92","8","20","40.0"
"","Sergey Popov","LW","KGN","16.474","65","4","5","0","9","9","76","5.26","0.06","0.08","0.0","0.14","0.14","1.17","665.91","10.24","0.36","0.45","0.0","0.81","0.81","6.85","14.2","13.43","43.5","48.19","-10.65","36.59","15","26","1","6","16.67","1","11","9.09","2","59","3.39","7","20","35.0"
"","Jalen Chatfield","D","WSR","20.337","61","5","3","9","8","17","67","7.46","0.08","0.05","0.15","0.13","0.28","1.1","1044.35","17.12","0.29","0.17","0.52","0.46","0.98","3.85","14.76","13.87","53.98","51.47","0.66","53.33","56","49","1","4","25.0","1","5","20.0","3","58","5.17","0","1","0.0"
"","Kade Landry","D","BAR","17.375","61","0","8","8","8","16","48","0.0","0.0","0.13","0.13","0.13","0.26","0.79","860.42","14.11","0.0","0.56","0.56","0.56","1.12","3.35","12.29","13.75","40.46","49.9","7.62","47.52","48","53","0","2","0.0","0","2","0.0","0","44","0.0","0","0","0.0"
"","Adam Thilander","D","NB","17.996","64","2","6","7","8","15","76","2.63","0.03","0.09","0.11","0.12","0.23","1.19","1031.29","16.11","0.12","0.35","0.41","0.47","0.87","4.42","13.54","13.55","41.93","49.11","1.37","40.71","46","67","0","0","0.0","1","3","33.33","1","73","1.37","0","0","0.0"
"","Zachary Jackson","LW","HAM","17.681","53","3","5","6","8","14","42","7.14","0.06","0.09","0.11","0.15","0.26","0.79","515.24","9.72","0.35","0.58","0.7","0.93","1.63","4.89","13.02","12.86","49.7","46.13","-7.62","46.15","18","21","1","5","20.0","1","9","11.11","1","28","3.57","7","18","38.89"
"","Dennis Busby","D","FLNT","16.696","62","2","6","6","8","14","29","6.9","0.03","0.1","0.1","0.13","0.23","0.47","746.55","12.04","0.16","0.48","0.48","0.64","1.13","2.33","13.69","13.74","49.84","50.69","-1.84","49.33","37","38","0","1","0.0","1","1","100.0","1","27","3.7","0","2","0.0"
"","Dylan Di Perna","D","KIT","20.392","65","3","5","5","8","13","71","4.23","0.05","0.08","0.08","0.12","0.2","1.09","1066.46","16.41","0.17","0.28","0.28","0.45","0.73","3.99","13.57","13.66","49.07","50.94","-6.51","45.38","54","65","0","1","0.0","2","5","40.0","1","65","1.54","0","0","0.0"
"","Dmitri Samorukov","D","GUE","17.254","67","2","6","4","8","12","89","2.25","0.03","0.09","0.06","0.12","0.18","1.33","1088.53","16.25","0.11","0.33","0.22","0.44","0.66","4.91","12.69","13.99","40.71","53.83","-2.51","39.84","51","77","0","0","0.0","0","3","0.0","2","86","2.33","1","1","100.0"
"","Fedor Gordeev","D","HAM/FLNT","17.638","64","4","4","4","8","12","64","6.25","0.06","0.06","0.06","0.12","0.19","1.0","861.99","13.47","0.28","0.28","0.28","0.56","0.84","4.45","13.49","13.76","49.58","50.23","-1.52","50.52","49","48","1","2","50.0","0","2","0.0","3","60","5.0","0","3","0.0"
"","Pavel Gogolev","RW","PBO","16.575","53","5","3","3","8","11","65","7.69","0.09","0.06","0.06","0.15","0.21","1.23","529.35","9.99","0.57","0.34","0.34","0.91","1.25","7.37","13.59","13.22","49.05","48.73","-7.49","45.45","20","24","0","6","0.0","1","10","10.0","4","49","8.16","0","3","0.0"
"","Scoley Dow","LW","MISS","17.35","46","4","4","3","8","11","33","12.12","0.09","0.09","0.07","0.17","0.24","0.72","452.23","9.83","0.53","0.53","0.4","1.06","1.46","4.38","12.9","13.14","49.28","48.9","4.35","61.76","21","13","0","0","0.0","2","7","28.57","2","26","7.69","5","9","55.56"
"","Brady Lyle","D","NB","17.282","58","2","6","3","8","11","64","3.12","0.03","0.1","0.05","0.14","0.19","1.1","825.52","14.23","0.15","0.44","0.22","0.58","0.8","4.65","13.56","13.42","42.36","48.55","6.46","44.71","38","47","1","2","50.0","0","1","0.0","1","61","1.64","0","1","0.0"
"","Hayden Davis","D","SAG/NIAG","17.158","67","1","7","3","8","11","39","2.56","0.01","0.1","0.04","0.12","0.16","0.58","868.95","12.97","0.07","0.48","0.21","0.55","0.76","2.69","12.89","13.5","45.04","52.06","-3.68","41.3","38","54","0","0","0.0","0","1","0.0","1","38","2.63","0","0","0.0"
"","Josh Wainman","D","ER","17.572","42","1","7","2","8","10","29","3.45","0.02","0.17","0.05","0.19","0.24","0.69","496.22","11.81","0.12","0.85","0.24","0.97","1.21","3.51","12.74","12.98","54.77","50.03","-17.61","47.06","24","27","0","1","0.0","0","1","0.0","1","27","3.7","3","8","37.5"
"","Max Grondin","C","SAG","16.203","68","5","3","2","8","10","66","7.58","0.07","0.04","0.03","0.12","0.15","0.97","741.52","10.9","0.4","0.24","0.16","0.65","0.81","5.34","13.15","13.74","43.12","51.71","-14.26","35.94","23","41","2","9","22.22","1","16","6.25","2","41","4.88","169","359","47.08"
"","Tom Hedberg","D","BAR","17.104","56","3","5","2","8","10","49","6.12","0.05","0.09","0.04","0.14","0.18","0.88","724.52","12.94","0.25","0.41","0.17","0.66","0.83","4.06","12.68","13.75","41.97","50.11","7.21","46.43","39","45","0","0","0.0","1","1","100.0","2","48","4.17","1","1","100.0"
"","Jacob Ball","LW","NB","17.668","42","4","4","2","8","10","44","9.09","0.1","0.1","0.05","0.19","0.24","1.05","413.4","9.84","0.58","0.58","0.29","1.16","1.45","6.39","13.58","14.05","41.36","50.67","-3.79","40.0","14","21","0","1","0.0","0","4","0.0","4","39","10.26","75","210","35.71"
"","Owen Lane","LW","SBY","17.668","43","5","3","2","8","10","46","10.87","0.12","0.07","0.05","0.19","0.23","1.07","368.24","8.56","0.81","0.49","0.33","1.3","1.63","7.5","12.9","13.18","46.0","46.77","2.09","48.15","13","14","2","5","40.0","0","8","0.0","3","33","9.09","1","2","50.0"
"","Robbie Burt","RW","OSH","17.304","46","7","1","2","8","10","60","11.67","0.15","0.02","0.04","0.17","0.22","1.3","406.21","8.83","1.03","0.15","0.3","1.18","1.48","8.86","12.37","13.1","46.44","47.48","-5.33","46.67","14","16","3","7","42.86","1","8","12.5","3","45","6.67","3","10","30.0"
"","Zach Wilkie","D","SBY","19.56","53","1","7","1","8","9","76","1.32","0.02","0.13","0.02","0.15","0.17","1.43","750.09","14.15","0.08","0.56","0.08","0.64","0.72","6.08","12.54","13.27","44.61","49.17","-11.58","37.8","31","51","0","2","0.0","0","7","0.0","1","67","1.49","0","1","0.0"
"","Cullen Mercer","C","FLNT","19.376","37","4","4","0","8","8","48","8.33","0.11","0.11","0.0","0.22","0.22","1.3","446.23","12.06","0.54","0.54","0.0","1.08","1.08","6.45","13.53","13.83","49.08","50.86","-10.98","39.02","16","25","1","4","25.0","1","14","7.14","2","30","6.67","82","165","49.7"
"","Sullivan Sparkes","C","OSH","17.372","45","5","3","0","8","8","45","11.11","0.11","0.07","0.0","0.18","0.18","1.0","419.45","9.32","0.72","0.43","0.0","1.14","1.14","6.44","12.36","12.8","45.52","45.46","1.28","50.0","15","15","2","9","22.22","0","5","0.0","3","31","9.68","106","241","43.98"
"","Reagan O'Grady","D","SBY","17.755","66","3","4","9","7","16","65","4.62","0.05","0.06","0.14","0.11","0.24","0.98","969.2","14.68","0.19","0.25","0.56","0.43","0.99","4.02","12.61","13.59","46.05","49.47","8.03","50.0","53","53","2","3","66.67","0","5","0.0","1","57","1.75","1","2","50.0"
"","Joey Keane","D","BAR","17.21","67","0","7","8","7","15","73","0.0","0.0","0.1","0.12","0.1","0.22","1.09","953.02","14.22","0.0","0.44","0.5","0.44","0.94","4.6","12.52","13.89","41.75","49.66","-2.29","38.94","44","69","0","0","0.0","0","1","0.0","0","72","0.0","0","0","0.0"
"","Chris  Martenet","D","LDN/OTT","19.976","55","3","4","6","7","13","52","5.77","0.05","0.07","0.11","0.13","0.24","0.95","800.59","14.56","0.22","0.3","0.45","0.52","0.97","3.9","13.32","13.95","52.64","50.79","3.46","55.29","47","38","0","0","0.0","0","1","0.0","3","51","5.88","0","0","0.0"
"","Kyle Rhodes","D","GUE","18.727","65","2","5","4","7","11","51","3.92","0.03","0.08","0.06","0.11","0.17","0.78","907.4","13.96","0.13","0.33","0.26","0.46","0.73","3.37","12.82","13.8","40.65","53.82","-6.4","36.0","36","64","0","0","0.0","0","0","0.0","2","51","3.92","0","0","0.0"
"","Aaron Haydon","D","NIAG","20.696","50","5","2","3","7","10","68","7.35","0.1","0.04","0.06","0.14","0.2","1.36","604.49","12.09","0.5","0.2","0.3","0.69","0.99","6.75","12.57","13.8","45.71","52.75","-0.81","45.9","28","33","2","6","33.33","0","5","0.0","3","57","5.26","0","0","0.0"
"","Connor Corcoran","D","WSR","16.11","59","5","2","2","7","9","52","9.62","0.08","0.03","0.03","0.12","0.15","0.88","572.69","9.71","0.52","0.21","0.21","0.73","0.94","5.45","13.94","13.28","51.15","50.67","7.39","57.89","22","16","2","2","100.0","0","3","0.0","3","47","6.38","25","53","47.17"
"","Aidan Brown","RW","BAR","16.983","61","3","4","2","7","9","59","5.08","0.05","0.07","0.03","0.11","0.15","0.97","604.33","9.91","0.3","0.4","0.2","0.69","0.89","5.86","12.53","13.69","39.98","50.27","-17.37","27.12","16","43","2","3","66.67","0","14","0.0","1","42","2.38","0","1","0.0"
"","Damian Bourne","LW","MISS","20.597","27","2","5","1","7","8","42","4.76","0.07","0.19","0.04","0.26","0.3","1.56","293.32","10.86","0.41","1.02","0.2","1.43","1.64","8.59","13.29","13.44","50.82","48.71","-1.15","48.39","15","16","0","4","0.0","1","17","5.88","1","21","4.76","0","1","0.0"
